Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
600000,0.953383,0.019144623,0.24519403,0.00012150414,0.14050135,0.00020845668,1.4134488,13.477372262773722,1.0467836471486902,1.0467836471486902,1.0
610000,0.94934297,0.01744453,0.24738981,0.00011845696,0.13948563,0.00020347956,1.4070309,12.712592592592593,1.0576226067124557,1.0576226067124557,1.0
620000,0.9587205,0.016229387,0.24550936,0.00011547958,0.13849318,0.00019861653,1.4097401,13.532697547683924,1.04187160594226,1.04187160594226,1.0
630000,0.939206,0.030498222,0.24336602,0.000112489986,0.13749664,0.00019373353,1.4074361,11.75061425061425,1.0040170110273854,1.0040170110273854,1.0
640000,0.94326955,0.027451636,0.24718338,0.00010950614,0.13650201,0.00018885992,1.4046675,11.081185567010309,1.021175731149158,1.021175731149158,1.0
650000,0.9636636,0.019490177,0.2513177,0.00010647593,0.13549195,0.00018391057,1.4010929,12.2409793814433,1.0495378902715191,1.0495378902715191,1.0
660000,0.9477449,0.023751453,0.24556106,0.00010347209,0.13449068,0.0001790043,1.3901374,11.555555555555555,1.0377503641266554,1.0377503641266554,1.0
670000,0.9548662,0.01685644,0.24150191,0.000100502,0.13350065,0.00017415312,1.3834455,12.267185473411155,1.039654752637362,1.039654752637362,1.0
680000,0.93364394,0.021493351,0.2448215,9.751281e-05,0.13250425,0.00016927079,1.3917658,12.1268758526603,1.0320274184751388,1.0320274184751388,1.0
690000,0.9435652,0.018861035,0.24784243,9.450157e-05,0.13150051,0.00016435244,1.3860053,12.598944591029024,1.0321550800877473,1.0321550800877473,1.0
700000,0.9601115,0.012818483,0.23843491,9.1473994e-05,0.1304913,0.00015940741,1.3727933,12.806711409395973,1.060978573257598,1.060978573257598,1.0
710000,0.97780764,0.01906224,0.24295689,8.8481465e-05,0.1294938,0.0001545196,1.3610408,11.552631578947368,1.0547852240178317,1.0547852240178317,1.0
720000,0.97833794,0.01698108,0.24239834,8.550222e-05,0.12850071,0.0001496535,1.356266,10.906213364595546,1.0589071895563855,1.0589071895563855,1.0
730000,0.976077,0.011077911,0.24497171,8.2495135e-05,0.12749834,0.00014474192,1.3473258,10.75906432748538,1.057899671451318,1.057899671451318,1.0
740000,0.97268844,0.0175114,0.24744304,7.950817e-05,0.1265027,0.00013986323,1.346466,9.920091324200913,1.0521510508171448,1.0521510508171448,1.0
750000,0.977621,0.016465157,0.24549304,7.6477256e-05,0.12549238,0.00013491271,1.346084,11.113532110091743,1.0584228784974132,1.0584228784974132,1.0
760000,0.9853139,0.012995338,0.24850379,7.344896e-05,0.12448295,0.00012996649,1.3400127,10.304347826086957,1.0661503633522431,1.0661503633522431,1.0
770000,0.9796123,0.016060429,0.23890392,7.049901e-05,0.12349965,0.00012514825,1.3304385,10.451396648044692,1.062446710780079,1.062446710780079,1.0
780000,0.98169637,0.012079317,0.24470538,6.747966e-05,0.12249319,0.00012021664,1.3206676,9.783845278725824,1.0634576487149727,1.0634576487149727,1.0
790000,0.9809096,0.012006283,0.24686597,6.450052e-05,0.12150014,0.00011535071,1.3089504,10.106263982102908,1.0627597976226213,1.0627597976226213,1.0
800000,0.9880295,0.0098972665,0.24290434,6.1495986e-05,0.120498635,0.0001104433,1.2993758,9.816017316017316,1.0688420126428304,1.0688420126428304,1.0
810000,0.9846125,0.013099642,0.24749011,5.847854e-05,0.11949283,0.00010551481,1.2936429,10.441340782122905,1.0676588843926504,1.0676588843926504,1.0
820000,0.99166757,0.011260751,0.2399182,5.5499633e-05,0.11849985,0.000100649275,1.287966,9.931404072883172,1.072993583895282,1.072993583895282,1.0
830000,0.9788696,0.019737413,0.24423002,5.2496012e-05,0.117498636,9.5743344e-05,1.281588,9.122340425531915,1.0512619513014878,1.0512619513014878,1.0
840000,0.95161384,0.025644055,0.2444276,4.9519756e-05,0.11650656,9.088214e-05,1.2767143,10.693995381062356,1.036463721570247,1.036463721570247,1.0
850000,0.9682904,0.021505084,0.25189975,4.646492e-05,0.11548829,8.589256e-05,1.2751527,9.328142380422692,1.0490909305330762,1.0490909305330762,1.0
860000,0.9718899,0.017200505,0.23847118,4.347917e-05,0.114493005,8.101582e-05,1.2745662,10.325555555555555,1.0564444656814966,1.0564444656814966,1.0
870000,0.975212,0.018633535,0.24874964,4.048944e-05,0.11349646,7.613261e-05,1.2691648,10.514029180695847,1.0565769010788932,1.0565769010788932,1.0
880000,0.9858231,0.011478519,0.23809847,3.748331e-05,0.11249442,7.1222596e-05,1.2616386,9.811111111111112,1.0706104543184103,1.0706104543184103,1.0
890000,0.97245806,0.01856493,0.24861933,3.4510333e-05,0.1115034,6.636672e-05,1.257119,10.122334455667788,1.0650559500197336,1.0650559500197336,1.0
900000,0.9824544,0.012874339,0.24049921,3.1487278e-05,0.11049573,6.142908e-05,1.2538959,10.698030634573303,1.0681004584990605,1.0681004584990605,1.0
910000,0.9888547,0.012283701,0.24471278,2.8491257e-05,0.10949707,5.6535566e-05,1.2512528,9.580366774541531,1.0738187921117939,1.0738187921117939,1.0
920000,0.9751831,0.015191642,0.23869999,2.5484507e-05,0.1084948,5.162454e-05,1.2480015,9.55119825708061,1.0670915245725763,1.0670915245725763,1.0
930000,0.9761671,0.014139722,0.24450426,2.2488352e-05,0.10749608,4.673082e-05,1.2449611,10.366213151927438,1.0713431370669544,1.0713431370669544,1.0
940000,0.9779835,0.015268876,0.2427004,1.946795e-05,0.106489286,4.17975e-05,1.2442976,9.849462365591398,1.0598276074963686,1.0598276074963686,1.0
950000,0.9725885,0.017410995,0.24508978,1.6474169e-05,0.10549136,3.690765e-05,1.2440187,9.471264367816092,1.0545322457928668,1.0545322457928668,1.0
960000,0.9902074,0.0118577955,0.24636798,1.34927795e-05,0.10449756,3.203805e-05,1.242314,9.119246861924687,1.0738140235877864,1.0738140235877864,1.0
970000,0.9879144,0.011384436,0.24480829,1.0483766e-05,0.103494555,2.7123326e-05,1.2407548,9.598516949152541,1.073726337273654,1.073726337273654,1.0
980000,0.9898673,0.0077493605,0.24095392,7.5021276e-06,0.10250068,2.2253313e-05,1.2405982,9.95253164556962,1.078630595206977,1.078630595206977,1.0
990000,0.9893536,0.0087304395,0.24805959,4.491328e-06,0.101497084,1.7335675e-05,1.2400091,9.171458998935037,1.0782534828006871,1.0782534828006871,1.0
1000000,0.9903058,0.010108299,0.2426276,1.4868211e-06,0.10049558,1.24283115e-05,1.239823,9.81578947368421,1.0763380498900799,1.0763380498900799,1.0
